Insight_Category,Community_Reporting_Area_Name,Number_of_Tracts,Avg_Rent,Avg_YoY_Change,Min_Rent_in_Community,Max_Rent_in_Community,Rent_Range
9. COMMUNITY-LEVEL PERFORMANCE,Pioneer Square/International District,2,1817,-0.5049999999999999,1803,1831,28
9. COMMUNITY-LEVEL PERFORMANCE,Sunset Hill/Loyal Heights,3,1787,1.6499999999999997,1461,2181,720
9. COMMUNITY-LEVEL PERFORMANCE,Central Area/Squire Park,5,1773,4.497999999999999,1537,2104,567
9. COMMUNITY-LEVEL PERFORMANCE,Alki/Admiral,2,1768,2.605,1666,1870,204
9. COMMUNITY-LEVEL PERFORMANCE,Wallingford,5,1749,1.3679999999999999,1319,2058,739
9. COMMUNITY-LEVEL PERFORMANCE,Green Lake,4,1736,1.005,1418,1994,576
9. COMMUNITY-LEVEL PERFORMANCE,Roxhill/Westwood,3,1727,3.3666666666666667,1487,2187,700
9. COMMUNITY-LEVEL PERFORMANCE,North Beacon Hill/Jefferson Park,3,1724,-2.74,1656,1791,135
9. COMMUNITY-LEVEL PERFORMANCE,North Delridge,1,1676,2.17,1676,1676,0
9. COMMUNITY-LEVEL PERFORMANCE,Whittier Heights,3,1657,-0.06000000000000002,1522,1729,207
9. COMMUNITY-LEVEL PERFORMANCE,North Beach/Blue Ridge,3,1649,2.0933333333333333,1256,1943,687
9. COMMUNITY-LEVEL PERFORMANCE,Olympic Hills/Victory Heights,4,1643,5.4975,1460,1777,317
9. COMMUNITY-LEVEL PERFORMANCE,Greenwood/Phinney Ridge,6,1581,1.11,993,1963,970
9. COMMUNITY-LEVEL PERFORMANCE,Haller Lake,3,1557,1.1133333333333333,1130,1970,840
9. COMMUNITY-LEVEL PERFORMANCE,Laurelhurst/Sand Point,3,1507,1.1900000000000002,1200,2085,885
9. COMMUNITY-LEVEL PERFORMANCE,Fauntleroy/Seaview,4,1453,0.7775000000000001,1112,1629,517
9. COMMUNITY-LEVEL PERFORMANCE,Mt. Baker/North Rainier,1,1417,2.01,1417,1417,0
9. COMMUNITY-LEVEL PERFORMANCE,Licton Springs,2,1402,0.95,1330,1475,145
9. COMMUNITY-LEVEL PERFORMANCE,Seward Park,2,1389,1.475,1363,1415,52
9. COMMUNITY-LEVEL PERFORMANCE,Columbia City,5,1387,-0.4049999999999999,0,2081,2081
9. COMMUNITY-LEVEL PERFORMANCE,Riverview,1,1333,0.53,1333,1333,0
9. COMMUNITY-LEVEL PERFORMANCE,Georgetown,1,1318,0.77,1318,1318,0
9. COMMUNITY-LEVEL PERFORMANCE,Wedgwood/View Ridge,4,1242,-0.2233333333333333,0,2367,2367
9. COMMUNITY-LEVEL PERFORMANCE,Broadview/Bitter Lake,4,1214,1.29,0,1881,1881
9. COMMUNITY-LEVEL PERFORMANCE,University District,7,1105,1.922,0,1733,1733
9. COMMUNITY-LEVEL PERFORMANCE,Cedar Park/Meadowbrook,5,990,2.9766666666666666,0,1703,1703
9. COMMUNITY-LEVEL PERFORMANCE,Montlake/Portage Bay,2,925,1.26,0,1851,1851
9. COMMUNITY-LEVEL PERFORMANCE,Magnolia,2,780,0.97,0,1560,1560
9. COMMUNITY-LEVEL PERFORMANCE,Highland Park,2,780,-6.31,0,1561,1561
9. COMMUNITY-LEVEL PERFORMANCE,South Beacon Hill/NewHolly,3,772,16.38,0,2317,2317
9. COMMUNITY-LEVEL PERFORMANCE,Beacon Hill,2,729,1.05,0,1459,1459
9. COMMUNITY-LEVEL PERFORMANCE,Rainier Beach,5,554,0.975,0,1557,1557
9. COMMUNITY-LEVEL PERFORMANCE,South Park,2,446,0.68,0,892,892
9. COMMUNITY-LEVEL PERFORMANCE,Arbor Heights,2,0,,0,0,0
